Indexing started : 2026-03-16 15:20:38.584491
Device           : cpu (FP32)
Batch size       : 10
Folder           : ./assets40k
-----------------------------------------------------------------------------------------------
progress | decode | embed | db | total | CPU% RAM% GPU% VRAM | ETA
-----------------------------------------------------------------------------------------------
TurboJPEG        : not used (PIL sufficient at this batch size)
batch 1/4067 (10/40670) | decode:0.14s embed:0.33s db:0.13s total:0.46s | CPU:29% RAM:88% GPU:N/A | ETA:31m24s
batch 2/4067 (20/40670) | decode:0.11s embed:0.32s db:0.02s total:0.34s | CPU:66% RAM:88% GPU:N/A | ETA:29m46s
batch 3/4067 (30/40670) | decode:0.10s embed:0.32s db:0.02s total:0.34s | CPU:85% RAM:88% GPU:N/A | ETA:28m21s
batch 4/4067 (40/40670) | decode:0.10s embed:0.30s db:0.02s total:0.32s | CPU:71% RAM:88% GPU:N/A | ETA:27m1s
batch 5/4067 (50/40670) | decode:0.25s embed:0.31s db:0.02s total:0.33s | CPU:69% RAM:88% GPU:N/A | ETA:26m7s
batch 6/4067 (60/40670) | decode:0.10s embed:0.31s db:0.02s total:0.32s | CPU:64% RAM:88% GPU:N/A | ETA:25m15s
batch 7/4067 (70/40670) | decode:0.12s embed:0.30s db:0.02s total:0.32s | CPU:73% RAM:88% GPU:N/A | ETA:24m31s
batch 8/4067 (80/40670) | decode:0.09s embed:0.30s db:0.02s total:0.32s | CPU:78% RAM:88% GPU:N/A | ETA:23m57s
batch 9/4067 (90/40670) | decode:0.11s embed:0.31s db:0.02s total:0.33s | CPU:78% RAM:88% GPU:N/A | ETA:23m33s
batch 10/4067 (100/40670) | decode:0.10s embed:0.41s db:0.02s total:0.43s | CPU:75% RAM:88% GPU:N/A | ETA:24m41s
batch 11/4067 (110/40670) | decode:0.09s embed:0.32s db:0.02s total:0.34s | CPU:73% RAM:88% GPU:N/A | ETA:24m21s
batch 12/4067 (120/40670) | decode:0.09s embed:0.31s db:0.02s total:0.33s | CPU:66% RAM:88% GPU:N/A | ETA:23m58s
